POSTNR	POSTSTAD	POSTNR- OG STAD	BRUKSOMRÅDE	FOLKETAL	BYDEL	KOMMNR	KOMMUNE	FYLKE	LAT	LON	DATAKVALITET	DATAKVALITETSFORKLARING	SIST OPPDATERT
2034	Holter	2034 HOLTER	Gate-/veg-adresse	2127		3036	Nannestad	Viken	60.1363	11.024	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:22
2035	Holter	2035 HOLTER	Postboksar			3036	Nannestad	Viken	60.13633	11.02399	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:09
2036	Maura	2036 MAURA	Postboksar			3036	Nannestad	Viken	60.2581	11.0293	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:09
2040	Kløfta	2040 KLØFTA	Gate-/veg-adresse	8875		3033	Ullensaker	Viken	60.0741	11.138	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:27
2041	Kløfta	2041 KLØFTA	Postboksar			3033	Ullensaker	Viken	60.07613	11.13751	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:11
2044	Frogner (ikkje i bruk)	2044 FROGNER (ikkje i bruk)	Historisk			3030	Lillestrøm	Viken	60.0242	11.1018	6	Usikker plassering	2020-02-19 01:28:58
2045	Leirsund (ikkje i bruk)	2045 LEIRSUND (ikkje i bruk)	Historisk			3030	Lillestrøm	Viken	59.992801	11.096654	6	Usikker plassering	2020-02-19 01:28:58
2050	Jessheim	2050 JESSHEIM	Gate-/veg-adresse	14178		3033	Ullensaker	Viken	60.139	11.1663	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:27
2051	Jessheim	2051 JESSHEIM	Postboksar			3033	Ullensaker	Viken	60.14138	11.17233	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:11
2052	Jessheim	2052 JESSHEIM	Gate-/veg-adresse	2617		3033	Ullensaker	Viken	60.1384	11.2105	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:27
2053	Jessheim	2053 JESSHEIM	Gate-/veg-adresse			3033	Ullensaker	Viken	60.1366	11.1885	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:27
